,BOLD_correlation,Max,Max-Mean,Max-Min,Mean_peak,Mean_peak-Min,Min,TI,Task,Time_to_peak,slope
1,0.7871220714258689,0.8380424978258779,0.22472589057359127,0.23626499318238306,0.8375214946855873,0.4440306119426707,0.8285449891108723,630,0.0,0.75,0.5192491633654921
1,0.5631445117011964,0.6366600182855695,0.0,0.0,0.6603556313410515,0.3039234230260439,0.6729814035391078,650,0.0,0.0,0.2781600038479422
1,0.7272744349813949,1.0,0.248075388745524,0.14619441322402096,1.0,0.3590863366512529,1.0,670,0.0,0.5,0.3164013776759718
1,0.0,0.3234916647925452,0.34797777145517744,0.15341957808404816,0.28554010431097154,0.0,0.34488100124225696,690,0.0,1.0,0.0
1,0.6915470178334817,0.21231258387723706,0.3598367765845732,0.09350233562472576,0.1951082850104804,0.06303080944435169,0.2473283585440811,710,0.0,0.5,0.046945117402040826
1,1.0,0.2427344882317737,1.0,1.0,0.2009786945393479,1.0,0.12673238757808747,730,0.0,0.5,1.0000000000000002
1,0.7995144846801323,0.0,0.3505074406283065,0.3479447423252424,0.0,0.4722804808311227,0.0,750,0.0,0.5,0.4357408958062255
1,0.8900812082706213,0.0,1.0,1.0,0.0,1.0,0.0,630,1.0,0.0,1.0
1,0.9848009599305114,0.3337381530206933,0.6744204188675401,0.9764576126792012,0.3351382846275293,0.9798849705805442,0.3140416736282248,650,1.0,0.3333333333333335,0.8156492985132027
1,1.0,0.708332322988328,0.5552104107130837,0.7674090492027242,0.718140393321212,0.8486956775422428,0.6878719379011589,670,1.0,0.6666666666666665,0.7000366874099936
1,0.20880103872043412,0.7610128862853269,0.6686991838652805,0.5936397419016243,0.74593273855041,0.5326365597522168,0.7573180090710814,690,1.0,0.0,0.4820976209585448
1,0.0,0.7771215858195166,0.12865854423564865,0.023480211645591,0.7546844393544934,0.0,0.8389793773741161,710,1.0,1.0,0.0
1,0.9546340277676642,0.8487048329400508,0.0,0.0,0.8764162672164435,0.31543717459726617,0.9084919809022124,730,1.0,1.0,0.4907285628395527
1,0.9546932932636504,1.0,0.6625812963078805,0.4244844367914745,1.0,0.4840093781579862,1.0,750,1.0,0.0,0.6107799317563045
10,0.9984394526246329,0.4362230986155216,0.4764666858248556,0.8215677142371995,0.4444137379361184,1.0,0.4318612336822478,630,0.0,0.875,1.0
10,0.9193051448374449,0.6279540076026544,0.6534826842157397,0.6683935108488432,0.6242281303654806,0.5652303645842132,0.630047147474535,650,0.0,0.875,0.6471190970328989
10,0.7967107022037891,0.0,0.5421544021864361,0.5891038927928942,0.0,0.4781692217147024,0.0,670,0.0,0.875,0.5670902394623805
10,0.0,0.05487161001486696,0.0,0.0,0.056424611589588114,0.0,0.07459677238192297,690,0.0,0.0,0.0
10,0.8145506504575168,0.12238357021055668,1.0,1.0,0.10822813345545956,0.4770410464370312,0.109826014854419,710,0.0,1.0,0.4917644968346234
10,0.975311725522312,1.0,0.5872336592433656,0.817034084156687,1.0,0.8743988719027662,1.0,730,0.0,0.875,0.9349459385263716
10,0.9999999999999998,0.21206168797374486,0.3555779679083697,0.08298308979658664,0.21769400998253907,0.21884319835569888,0.2302407766527725,750,0.0,0.875,0.5143583060781766
10,0.7887358248548741,0.0,0.9999999999999998,1.0,0.0,1.0,0.0,630,1.0,1.0,0.8026014280086309
10,0.23201618809239302,1.0,0.3807112174189651,0.3797354395588468,0.9999999999999998,0.32723976753262296,1.0000000000000002,650,1.0,1.0,0.11670870861892972
10,0.2406770616349463,0.07501284396855268,0.08556692299608715,0.0,0.07584321889704504,0.0,0.09168927841609607,670,1.0,1.0,0.09415598492301487
10,1.0,0.137146229075932,0.0,0.3735337314163421,0.14425849894996956,0.7617992750791115,0.14661542010609765,690,1.0,0.0,1.0
10,0.0,0.18854699923657714,0.4284019702385258,0.3483600139358487,0.1844599181390214,0.07108249675149103,0.1978988596262108,710,1.0,1.0,0.0
10,0.903597388625958,0.6325153502869143,0.1300618621299856,0.2332818032020172,0.6356014556003056,0.3650584315143296,0.6390635356605021,730,1.0,0.0,0.54011852159098
10,0.8926924588405267,0.6898068410258227,0.2280492094616509,0.5000459253536567,0.6940059720705445,0.7090631458589204,0.6910677340826077,750,1.0,0.0,0.8877015729674955
11,0.0,0.0,0.2083015171690668,0.6038275186934153,0.0,1.0,0.0,630,0.0,0.9,1.0
11,0.005720606217455196,0.11092770826584264,0.15998601185152722,0.18715154053805605,0.10890703408568392,0.4029904775306907,0.14452782976400336,650,0.0,0.8,0.7663695734239916
11,0.5636574169265923,0.5217363388463205,0.2058797347005375,0.45258025041226496,0.5245333457215402,0.5069173879192019,0.5372407174704712,670,0.0,1.0,0.587805374792729
11,0.5472376951940984,1.0,0.4065642919764076,0.6910083239872599,1.0,0.4232741075998677,1.0,690,0.0,0.9,0.5074477360355705
11,0.9677867196436766,0.3607189951744996,1.0,1.0,0.27590495884449595,0.0,0.3319752679831751,710,0.0,0.0,0.0
11,0.9384796720732252,0.254017869760121,0.4969887120876785,0.7403027784947079,0.20037788213262964,0.215131175955388,0.2450076111988313,730,0.0,1.0,0.17010587425551246
11,1.0,0.27574239202766826,0.0,0.0,0.2749851173613358,0.08798062680245577,0.3252241963736182,750,0.0,1.0,0.4713560255953977
11,0.008787745412363185,1.0,1.0,0.8366601052563714,1.0,0.0,1.0,630,1.0,0.0,0.20293662700517304
11,0.19641782472920924,0.0,0.6673856682102937,1.0,0.0,0.625834167330437,0.0,650,1.0,1.0,0.2930601672843529
11,0.9530301280564164,0.164545200769024,0.0,0.22589576707351997,0.17439089629690585,0.3440454853320973,0.17681218633209814,670,1.0,0.25,0.3660864135297332
11,0.5325790406657962,0.07604677451132691,0.027630365981162752,0.499393822455565,0.08368981405447062,0.5469809169379317,0.08406114126969921,690,1.0,0.125,0.0
11,1.0000000000000002,0.0784761160630989,0.136904954318128,0.0,0.0902215283371186,0.2512936280756901,0.09468235167313477,710,1.0,0.25,0.6202056808258791
11,0.6671024922455028,0.06940316651432178,0.6363123896248293,0.9736429774222608,0.07469448800490586,0.9387999043161788,0.06964975664914252,730,1.0,0.125,0.14386349415021482
11,0.0,0.10675837760565887,0.5068054546709047,0.6999310526835485,0.11767852896809837,1.0,0.11139823794565018,750,1.0,1.0,1.0
12,0.0,0.9259620121910536,1.0,1.0,0.8944008634916045,0.9999999999999998,0.8030038669156916,630,0.0,0.0,0.7865512289509007
12,1.0,0.3234903321156146,0.4663174622778498,0.730321910366269,0.32258756109387576,0.8527876023252576,0.2636802143821484,650,0.0,0.0,0.9184450627114682
12,0.8594807754165288,1.0,0.0,0.1351422341172952,1.0,0.32665176690392217,1.0,670,0.0,0.0,0.4193751422587193
12,0.25675158223121564,0.6452001665379576,0.3743391742103284,0.0,0.6256567459353342,0.0,0.6789424784423979,690,0.0,0.0,0.0
12,0.8015787767080731,0.4966544305017528,0.1881996366733678,0.3753281062815503,0.5129474552679767,0.6253974640275879,0.4816523920964855,710,0.0,0.0,0.7484094224089509
12,0.6905902336289316,0.06879927230837879,0.0402964772135348,0.6280706983204905,0.09295505822498384,0.8880460023692864,0.033973668542696345,730,0.0,1.0,1.0
12,0.8838784651672942,0.0,0.2504348572650508,0.4075716033619976,0.0,0.4778753109293725,0.0,750,0.0,0.5,0.4046633607025056
12,0.4110020882676862,0.0,0.2336607787327767,0.08776529963905982,0.0,0.16536970689027666,0.0,630,1.0,0.20000000000000015,0.1342426435315124
12,0.9763398468456492,0.21703783706707824,0.3194850921182102,0.43073100965447547,0.2200793508263299,0.7815730328272241,0.20266170112495366,650,1.0,0.0,1.0000000000000002
12,1.0,0.3789084961680649,1.0,1.0,0.3637946759282329,1.0,0.3403588208098691,670,1.0,0.4000000000000001,0.8113413814585739
12,0.1335808551989872,0.3861047712010306,0.10556052776924857,0.02739991275702236,0.3835767811577577,0.0,0.3893012051352045,690,1.0,1.0,0.0
12,0.9456998694108768,0.35038996541356404,0.8273424420109649,0.835440996300562,0.33964545758917364,0.9071035834721356,0.3188568392631188,710,1.0,0.4000000000000001,0.7571227108822194
12,0.6320509384507274,1.0,0.12968425315167104,0.12434923036688965,1.0,0.2468545367211765,1.0,730,1.0,0.20000000000000015,0.12717998025615512
12,0.0,0.4063520402432372,0.0,0.0,0.41239879402544144,0.25540130939058864,0.4107560046286061,750,1.0,0.20000000000000015,0.08429632065094478
13,1.0,1.0000000000000009,0.9049114081766204,0.9889636148983182,0.9999999999999992,1.0,1.0000000000000009,630,0.0,1.0,1.0
13,0.9659480959981566,0.7607563783912541,1.0,1.0,0.7406193055201795,0.8916905215560466,0.7460477262997456,650,0.0,1.0,0.8950577947534183
13,0.0,0.8026866136136155,0.0,0.0,0.8121841344108782,0.0,0.9305818497060452,670,0.0,0.0,0.0
13,0.9803499224498728,0.6265884994448649,0.027222171707089737,0.11453712117511695,0.6337734669809754,0.1443057839134239,0.7287276979285702,690,0.0,1.0,0.14424313509926778
13,0.6368894942216135,0.41763014047512215,0.27423016773727826,0.4173272991943208,0.41103505331168666,0.41243678626692937,0.4657943163819516,710,0.0,1.0,0.33346659440770504
13,0.9114649282595012,0.0,0.2611339038280036,0.5968833182989607,0.0,0.7509248907706277,0.0,730,0.0,1.0,0.6938594850558134
13,0.9180836477170068,0.13772337907449028,0.3714214201854321,0.5218519573755825,0.13257217837531687,0.5967292576260113,0.1558259499097563,750,0.0,0.0,0.7081147834340921
13,1.0,1.0000000000000004,0.32078929252826205,0.30496263408280505,0.9999999999999996,0.44385720330566497,1.0,630,1.0,0.625,0.5689912904297952
13,0.5876141589696858,0.6734377858952203,0.2949812682987705,0.3176598371796676,0.6727133358282598,0.3856252521100768,0.6699574825381767,650,1.0,0.875,0.7638810748152468
13,0.7980372480758494,0.5853309579838224,1.0,1.0,0.5562140328314031,1.0,0.5316137001825743,670,1.0,0.75,0.0
13,0.8301503477346229,0.6486581755224883,0.16070112950470186,0.2163987929356651,0.6521694258721921,0.2877246054997832,0.6523366069366183,690,1.0,0.0,0.18386232445371115
13,0.0,0.0,0.16235417356655982,0.19707407887820616,0.0,0.009612832722318665,0.0,710,1.0,1.0,0.11424764846253037
13,0.4317700913289799,0.7148427109037274,0.0,0.0,0.7241076615540574,0.0,0.7347529885841899,730,1.0,0.375,0.5723767250571506
13,0.5525681157489976,0.6456573969052801,0.04487630630567183,0.1763947974694819,0.6568401460783377,0.4355704674481201,0.6522171271095418,750,1.0,0.5,1.0
14,0.6129377863664305,1.0,0.0590480196533833,0.04354865460621807,1.0,0.07447490885282074,1.0,630,0.0,0.75,0.09830621821847524
14,0.5672008694666744,0.4682677785180607,0.20201808854312545,0.18400386976175645,0.4571335561294058,0.2298578819145869,0.43515362384713496,650,0.0,1.0,0.20289247508992256
14,0.6305138711693001,0.963668982355408,0.12041524506066795,0.10557778670132703,0.9585777063206864,0.1420016342626911,0.9492796590864973,670,0.0,1.0,0.14788437104744234
14,0.0,0.22213211503138552,1.0,1.0000000000000002,0.12783719026383444,1.0000000000000002,0.0,690,0.0,0.0,1.0
14,0.916979414399963,0.315847301525058,0.002225968670408862,0.032421368237431365,0.3243082226197065,0.11694790458367575,0.31761139462874605,710,0.0,0.5,0.18643187836330616
14,1.0,0.6909075090124004,0.03323526386668951,0.08124811092247725,0.6992804378788193,0.1991351230611064,0.6818225241318611,730,0.0,0.75,0.2648835852044784
14,0.10458786971242062,0.0,0.0,0.0,0.0,0.0,0.008888931566560565,750,0.0,1.0,0.0
14,0.8377684995271347,0.3021761265270033,0.0,0.0,0.31185744996638864,0.11381035269386078,0.3191621119443293,630,1.0,0.7000000000000001,0.45656009235366096
14,0.0,0.0,0.5711910677131514,0.3240148637161897,0.0,0.09306162211493138,0.0,650,1.0,0.0,0.0
14,0.945509795534007,0.09587814663021944,0.5204114149015461,0.3725003379366849,0.10014941485027552,0.31830626664913625,0.09640310462139112,670,1.0,0.7000000000000001,0.3798763984630793
14,0.3720735514117476,0.6837899774668403,0.4999660513172125,0.28390686563720724,0.6814370005467714,0.04714020980542924,0.6999418559485322,690,1.0,1.0,0.1512830846725697
14,0.7786931123719545,0.7577879040795263,0.7225922741132829,0.4541040976147952,0.7606740271208596,0.4456185293839993,0.7700757375168431,710,1.0,0.6000000000000001,0.5077736384074456
14,0.4874272323988047,0.6315172375569309,0.4804867682625026,0.2633985003642467,0.6287065539921319,0.0,0.6471923718348442,730,1.0,1.0,0.05812296619173446
14,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,0.9999999999999998,750,1.0,0.8,1.0
15,1.0,0.0,0.5268532061809081,0.377455497471376,0.0,0.32230721444458005,0.0,630,0.0,1.0,0.556460105127918
15,0.9419743110557748,0.7935319619296761,0.9999999999999998,1.0,0.7972250808010849,1.0,0.7649036450752984,650,0.0,0.8888888888888888,1.0
15,0.4649991885502434,0.44041923471718736,0.0,0.20918681407864287,0.4327550640885738,0.07786463998284343,0.4516485822950278,670,0.0,0.8888888888888888,0.0
15,0.4367092785188249,1.0,0.5634225626610612,0.4784587200485129,1.0,0.4910963653827683,1.0,690,0.0,0.3333333333333333,0.4515985524335695
15,0.3773901583586532,0.9065544867001184,0.7648129266624158,0.3860379431305188,0.8894750728370209,0.11183798939106404,0.910934408619223,710,0.0,0.0,0.005927165154107295
15,0.4584876669136925,0.6223325056614204,0.3607530278109468,0.1656515008081112,0.6167005173097078,0.08815192156990719,0.6368294972305621,730,0.0,0.0,0.1252430231399259
15,0.0,0.5151362889967137,0.2098166692383958,0.0,0.5134671781306128,0.0,0.5378051081370883,750,0.0,0.0,0.10648851473231684
15,0.0,0.0,1.0,1.0,0.0,1.0,0.0,630,1.0,1.0,1.0
15,0.2180248592114402,0.4349810176705735,0.04887764287514052,0.13157178286340254,0.4424037778755632,0.19633358678154966,0.4592676685444719,650,1.0,1.0,0.0
15,0.4574191683208089,0.7991134789219712,0.00761584782467417,0.08334094975493428,0.8021278063263533,0.12881700121478554,0.8102500408314461,670,1.0,0.0,0.09339219422896884
15,0.8982167709110824,1.0,0.215398898977932,0.13542830892913105,1.0,0.1781534265457186,1.0,690,1.0,0.0,0.1567572478201797
15,0.002505152306337965,0.9725515223562912,0.3728170162402249,0.2780166441805568,0.9703752876935364,0.2987076990760432,0.966688604779678,710,1.0,0.5,0.007747806285943294
15,0.9443328845876444,0.7448859787472437,0.06608202741214497,0.0,0.7476726801364877,0.0,0.7624461804747322,730,1.0,0.0,0.0366012525824142
15,1.0000000000000002,0.7112732101992565,0.0,0.060113011928953075,0.7175272366205999,0.15522984579334606,0.7273016787800484,750,1.0,0.5,0.16583506706661116
16,1.0,0.1550654494360444,0.8257702242251952,0.984135525525794,0.13573708442309496,1.0,0.01585108846980532,630,0.0,0.875,0.8616891918234125
16,0.9205885494371302,0.0,0.0,0.0,0.0,0.16701649050111808,0.06695804452517429,650,0.0,1.0,0.4069411880937927
16,0.8732511655693191,0.17788167932971174,0.6805611949182333,0.5866781790330019,0.17607589791920475,0.6831994438601557,0.11790210589413695,670,0.0,0.625,1.0
16,0.7067471942269375,0.1417938557789995,1.0,1.0,0.06973625427907137,0.7908923593027503,0.0,690,0.0,0.625,0.8015870590023317
16,0.2602794472769565,0.8641853687855949,0.737255137172939,0.6415244586300813,0.8774011976115191,0.6215326586685985,0.760745388181812,710,0.0,0.625,0.6241237330181986
16,0.8743718672297144,0.4893482126506861,0.9617539245828464,0.9705699989155512,0.3895849137825813,0.5513179203584173,0.3371043380906027,730,0.0,1.0,0.4862647595084803
16,0.0,1.0,0.3326593889568244,0.09789364857297556,1.0,0.0,0.9999999999999982,750,0.0,0.0,0.0
16,1.0,1.0,0.3507846543700837,0.25785428353675777,1.0,0.10674895388845204,1.0,630,1.0,0.0,0.2755382927460527
16,0.0,0.7933023135488106,0.1640666375919147,0.3286866314859839,0.8302338101510962,1.0,0.7711740696101828,650,1.0,1.0,1.0
16,0.7195585320284219,0.4754662998788177,0.05552563236012742,0.09044357084838134,0.4962927174664138,0.27594305412646514,0.484416141956622,670,1.0,0.25,0.5944941178885391
16,0.2353692180820776,0.8465355322187342,1.0,1.0,0.7588754853932933,0.9835969035015032,0.7007913280262628,690,1.0,0.875,0.0
